"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Irx1",0.79977722225903,0.0471211918518496,2.80937035361169,7.21817794704117,1.34281470100251,25.4010943142649,0.323399531413051,0.778714316824181,0.53125,6.1219512195122,0.0867778884462151,0.5625,6.8780487804878,0.081781914893617,89.1618106479488,0.0450029778539329,9.73812566931187e-05,0.0781022469177201,0.00120006204327923,0,0,NA
"Irx2",0.629550718717851,0.0699992094406833,0.548320544442123,2.88486514470546,0.750481625972146,14588.8601431565,0.57782597155098,0.999802294712314,0.15625,2.09756097560976,0.0744912790697674,0.203125,2.68292682926829,0.0757102272727273,72.4069251579629,0.308336113752082,0.013397834861286,0.344498991290907,0.055113820679381,1.33226762955019e-15,1.13442588656198e-12,NA
"Sim2",0.807076685058331,0.0593119470127962,2.26774145997165,4.25220684361966,1.28113456757506,5.90270687365727,0.360997272835335,0.581266078471428,0.390625,3.31707317073171,0.117761948529412,0.4375,4,0.109375,69.070685844403,0.177041485152392,0.178778878726027,0.221295108556486,0.353650022397934,6.77236045021345e-15,3.84444328223784e-12,NA
"Wt1",0.115164538741464,0.863110602775403,3.9025611330876,1.24722533889371,4.13032763812169,19019.9953012484,0.514177123045101,0.999934429870333,2.765625,0.121951219512195,22.678125,3.453125,0.170731707317073,20.2254464285714,65.3528972894049,0.0147987048438118,0.0635647156195251,0.0354776897580125,0.170447607809393,4.21884749357559e-14,1.79617432038981e-11,NA
"Tspan8",0.814838110434716,0.0660099294240955,2.78471765844855,5.69285814897991,2.43622540931309,1.63601907389702,0.466625545939455,0.223229155591558,0.453125,4.60975609756098,0.0982969576719577,0.515625,5.31707317073171,0.0969753440366972,58.2566350125533,0.0163853625070794,0.10761235789572,0.0377198066694094,0.252958919209419,1.3855583347322e-12,4.71921168809786e-10,NA
"Epcam",0.401579654683703,0,8.72087652237455,16.0731707317073,1.13390555715362,5.00133579498531,0.115061454226283,0.237316863797057,5.125,14.9512195121951,0.342781402936378,5.21875,16.0731707317073,0.324687025796662,56.0172853913423,0.00141552536742307,1.90687221710562e-05,0.00569355758896833,0.000300125105474884,4.16544576609112e-12,1.18229235660886e-09,NA
"Pou3f3",0.699698818077798,9.24330438496557e-10,2.75765201775298,3.36585366652274,14820.3508708587,8.50253098533453,0.999813962637223,0.716401703748621,0.75,2.68292682926829,0.279545454545455,0.828125,3.36585365853659,0.246037137681159,54.300204076745,8.06490642812907e-05,0.276386225613788,0.0006302194160145,0.49617792501706,9.68258806466338e-12,1.89194927625714e-09,NA
"Cenpf",0.353565751451016,0,4.6408430309652,10.8780487804878,0.667042345411241,2.84138153837345,0.125670073506111,0.207106379225321,2.859375,9.68292682926829,0.295300692695214,3,10.8780487804878,0.275784753363229,54.2956998421485,0.112366518855703,0.000193577394098754,0.151214423144105,0.00189391936929051,9.70401536903864e-12,1.89194927625714e-09,NA
"Pdgfa",0.251787655300684,0.0224019591479988,4.86576435909759,13.5224412307375,2.08703744495954,4.42815662237535,0.300172146966955,0.246685745990765,3.234375,12,0.26953125,3.640625,13.219512195122,0.275397832103321,54.2348007465912,0.00861726991420275,4.48233039573864e-09,0.0241817961933442,1.45888893698931e-06,9.9985575374717e-12,1.89194927625714e-09,NA
"Birc5",0.367989857028791,0,4.12869143497363,7.29268292682926,3.84525183587154,60.0248518099571,0.482227137222156,0.891667409459603,2.34375,6.4390243902439,0.363991477272727,2.609375,7.29268292682927,0.357807274247492,53.7619625123361,1.19991764302441e-08,6.10284319402243e-06,7.23950311291392e-07,0.000147281949082408,1.26119115151369e-11,2.14780853102781e-09,NA
