"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Cited1",0.00808455825174323,0.696130141706459,19.5179640961424,2.01324066939205,4.86462894151291,2.58375111122835,0.199512370731046,0.562052584501174,16.4957627118644,0.505882352941176,32.6079030350808,19.3601694915254,0.611764705882353,31.6464308996089,335.934138030334,3.27990967718961e-11,0,5.32461932701207e-10,0,0,0,NA
"Tgfbi",0.010779059188945,0.730149551530564,9.11091900644906,1.35151111881708,8.72196495169807,15293.5493026031,0.489094471324328,0.999911636490143,7.45338983050847,0.270588235294118,27.54513633014,9.01271186440678,0.364705882352941,24.7122744669218,308.849520668244,1.03139718987677e-13,0,2.62318685291992e-12,0,0,0,NA
"Crym",6.39423363499534e-10,0.8598786411818,5.47457627126506,1.17545173622209,10.0065639701512,10.4264690856291,0.646371250056952,0.898684730376005,4.35593220338983,0.129411764705882,33.6594761171032,5.47457627118644,0.164705882352941,33.2384987893462,304.523276190795,0,0,0,0,0,0,NA
"Clu",0.874110764797379,0.000941575199958684,1.64928433987337,7.28921619880157,13455.3977195993,2.00561526852369,0.99987744084275,0.215777475425365,0.105932203389831,7.02352941176471,0.0150824745194901,0.207627118644068,7.28235294117647,0.028510993674872,269.284981095544,3.15713455378841e-10,2.3724355813215e-12,3.82364073736596e-09,3.93514858380066e-11,0,0,NA
"Clec18a",0.978728795755041,0.100247874301191,1.59362515646424,4.44566885217777,12544.4458970312,16.8585501066737,0.999872977830682,0.791324485503812,0.0169491525423729,3.62352941176471,0.00467752586396654,0.0338983050847458,4,0.00847457627118644,263.129881144627,1.5612989456848e-08,8.64903642039394e-07,1.25876359054273e-07,8.91785782264943e-06,0,0,NA
"Robo2",0.0199880484842886,0.730149469408271,5.78944843873178,1.35151087942773,24.3806708743437,15426.0614808483,0.808106544801675,0.999912395494944,4.51694915254237,0.211764705882353,21.3300376647834,5.67372881355932,0.364705882352941,15.5569983597594,262.752690869924,0,0,0,0,0,0,NA
"Six2",0.0363390484834482,0.940941133630477,3.93977935975966,1.59362428664845,10006.8388580538,17501.5443602388,0.999606446261329,0.999908952081161,2.82627118644068,0.0823529411764706,34.3190072639225,3.79661016949153,0.0941176470588235,40.3389830508475,261.161909225016,0,0,0,0,0,0,NA
"Car4",0.994682199261127,0.161438617026897,1.59362425945859,4.08262231409702,12616.1589884636,10.3901754468747,0.999873699833214,0.717910636110285,0.00423728813559322,3.05882352941176,0.00138526727509778,0.00847457627118644,3.42352941176471,0.00247539169433281,243.005386170361,0.00396914787170743,0.483358639492927,0.00735063064590479,0.766741459320381,0,0,NA
"Emid1",0.857356451026713,0.110295757024567,1.78233116862667,6.41323376761598,15084.2769352247,8.63351633760875,0.999881855749261,0.573779472459698,0.135593220338983,5.43529411764706,0.0249468046078216,0.254237288135593,5.70588235294118,0.0445570504979906,230.409633942243,1.38314764419611e-07,7.7715611723761e-16,9.77168196779292e-07,1.69420033557799e-14,0,0,NA
"Rab3ip",0.763475964735572,0.0708397517017108,1.73773862245143,5.71040246937096,10779.5683728876,8.70474698761661,0.999838819285486,0.603861029231098,0.216101694915254,4.98823529411765,0.0433222737448033,0.411016949152542,5.30588235294118,0.0774643917471532,225.646443423706,1.5305157141654e-10,0,2.01678038676103e-09,0,0,0,NA
"Ube2c",0.777818386492294,0.0747749464336429,2.09784136002855,11.9525791233906,16286.7404588386,1.17069943356653,0.999871209884869,0.0892078476034407,0.271186440677966,11.5176470588235,0.0235452987309776,0.466101694915254,11.0588235294118,0.0421474936891453,222.05689958009,7.28622606693818e-10,0,8.0570876653244e-09,0,0,0,NA
"Cldn6",0.95745756592531,0.107679797595988,1.59362176198663,3.75755372250348,15324.406288623,4.62458242355157,0.999896018415026,0.551718839084721,0.0338983050847458,2.95294117647059,0.0114795057059896,0.0677966101694915,3.35294117647059,0.0202200416294975,221.275326767117,0.000782037115621526,0.0112763377213265,0.00177190489166882,0.0503148870255681,0,0,NA
"Mfap4",0.0406765903139634,0.749947532125059,4.2579443641215,1.22327364221645,149.494378798751,10329.9614327693,0.972306471365568,0.999881594059444,3.10169491525424,0.188235294117647,16.4777542372881,4.08474576271186,0.305882352941176,13.3539765319426,220.578385551317,1.84738668806972e-10,0,2.33956707013003e-09,0,0,0,NA
"Osr2",0.984046586875795,0.164670037943727,1.5936237329297,9.36579600688153,18617.7397681905,1.23310663419109,0.999914410269187,0.116342858874142,0.0127118644067797,7.61176470588235,0.00167002855421371,0.0254237288135593,7.82352941176471,0.00324964954759781,219.679881499039,4.55026643046974e-05,0.0177938907410271,0.000160279599322149,0.0754263257522427,0,0,NA
"Traf1",0.11062065373232,8.68028998268987e-11,3.41601770175538,0.0235294112495093,10756.7240359399,14364.7598426667,0.999682530368125,0.999998362007234,2.16101694915254,0.0235294117647059,91.8432203389831,3.03813559322034,0.0235294117647059,129.120762711864,218.574634853741,1.61019455702238e-06,0,8.24549293294012e-06,0,0,0,NA
"Tril",0.0255734099972639,0.665227829286989,5.86611833309891,1.65169668016795,7.62750618146577,10240.9395867622,0.565267410044857,0.999838742303148,4.55932203389831,0.388235294117647,11.743708269132,5.71610169491525,0.552941176470588,10.3376307248467,218.105163634159,7.08877401223162e-13,0,1.54535273466649e-11,0,0,0,NA
