"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Rrm2",0.884036114416387,0.146457042896316,1.95829545142078,3.8913429360104,17489.4057321507,9.86318271856402,0.999888042153355,0.717086358793025,0.127490039840637,2.5,0.050996015936255,0.227091633466135,3.32142857142857,0.0683716745919548,133.576651757125,8.21713666765422e-06,0.000221987961948056,2.71912522456922e-05,0.00118828850219253,0,0,NA
"Lig1",0.678642640270038,0.170086222184164,1.93402740734442,4.5830979537652,16008.9401172863,14606.8657281555,0.999879205383175,0.999686335146616,0.350597609561753,3,0.116865869853918,0.621513944223108,3.80357142857143,0.16340272711969,113.002240814728,2.60347299274599e-13,0,2.36916042339885e-12,0,0,0,NA
"Tyms",0.714360458142128,0.0874082118707887,1.81322552385379,3.18950303701816,18577.9429986496,11182.8389384962,0.999902408540673,0.99971486725126,0.282868525896414,2.05357142857143,0.137744673479993,0.51792828685259,2.91071428571429,0.177938552538313,98.6258970918442,6.66133814775094e-16,1.20068527265094e-06,7.57727214306669e-15,8.40479690855656e-06,0,0,NA
"Tcf19",0.933126989291298,0.299555610112782,1.48941389109121,2.49841391168638,10831.4972670523,14181.5131097265,0.999862511241363,0.999823857030324,0.051792828685259,1.125,0.0460380699424524,0.099601593625498,1.75,0.0569151963574274,97.9686577398592,4.18042553174125e-06,0.094313136300809,1.58573452935148e-05,0.27246017153567,0,0,NA
"Pcna",0.698792165260952,0.107717694846659,2.06340588943248,3.58230777801857,15914.0493915812,16.0978300685213,0.999870357422337,0.817973440737439,0.362549800796813,2.35714285714286,0.153809006398648,0.621513944223108,3.19642857142857,0.194440116628458,92.191699631789,5.1236792586451e-13,7.06878999778837e-13,4.23868011397004e-12,6.43259889798742e-12,0,0,NA
"Fam111a",0.931156787232548,0.348446977560596,2.02549993084803,2.68589038771663,10099.4269740095,15248.2830892009,0.999799484288416,0.999823887230293,0.0796812749003984,1.16071428571429,0.0686484829911125,0.139442231075697,1.75,0.0796812749003984,82.4778365504258,9.92405956523612e-07,0.161191840712349,4.0137307574955e-06,0.396444797427668,0,0,NA
"Top2a",0.825886365142196,0.263869056336137,2.0364949774944,3.51742544852305,10936.8915372008,14737.2377593312,0.999813830480326,0.999761380919469,0.207171314741036,1.89285714285714,0.109448996466962,0.354581673306773,2.58928571428571,0.136941887621926,80.9232508833628,1.23163701459816e-11,0.000167909975803071,8.96631746627463e-11,0.000954987987379967,0,0,NA
"Smc2",0.722730527778023,0.242430383270455,1.88231921917652,3.39431322820442,18589.5920480524,11500.0322456385,0.999898753633951,0.99970493024745,0.290836653386454,1.85714285714286,0.156604351823475,0.52191235059761,2.57142857142857,0.202965914121293,67.0677680045566,8.23698886875945e-11,3.94840555034692e-05,5.55234064486748e-10,0.00025664636077255,1.80966353013901e-14,4.03328759279731e-12,NA
"Spc24",0.899999922306905,0.412710929849113,1.59362425989277,2.43248427620697,17856.3039326256,14505.8320746307,0.999910760812978,0.999832338025935,0.0836653386454183,0.910714285714286,0.0918678228263417,0.159362549800797,1.42857142857143,0.111553784860558,59.2432200457945,7.77492677628278e-06,0.138419282746359,2.62043828385827e-05,0.364399186192591,8.52873327517045e-13,1.68963682551432e-10,NA
"Tk1",0.910506085331071,0.441576468812745,1.86974399026657,2.62217760556759,11720.5702843923,13315.6451188173,0.999840498736975,0.999803114207937,0.0916334661354582,0.964285714285714,0.0950272982145492,0.167330677290837,1.46428571428571,0.114274608881547,56.3903295445934,4.83997390587909e-06,0.195169005436102,1.76175050173999e-05,0.473610119858274,3.46767059511421e-12,6.18285667108864e-10,NA
