"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Epcam",0,0.896311704072624,13.616,2.38270687814219,2.77257773661885,16130.0017558729,0.169177446705687,0.999852302870438,12.296,0.188235294117647,65.3225,13.616,0.247058823529412,55.1123809523809,250.441585097554,1.07040051489093e-07,1.99074292495105e-07,2.13044231512163e-06,4.23547718860275e-06,0,0,NA
"Spint2",0.00430714998169561,0.719470370961277,9.38442000279909,1.59362425046081,5.84388967254419,18742.2446696429,0.383751696487119,0.999914978766597,8.272,0.235294117647059,35.156,9.344,0.447058823529412,20.9010526315789,237.196184188055,0.000256020300879456,0,0.00113319739483822,0,0,0,NA
"Irx1",0.0628842797177193,1,5.98431941841719,0,3.12372762779967,1,0.342963492826616,1,5.024,0,Inf,5.608,0,Inf,210.850558341037,0.889337667953527,0.99986709603776,0.890781397933971,0.999999984505884,0,0,NA
"Pou3f3",0.0882746411270241,1,3.61512375087929,0,11.208958713817,1,0.756131702620467,1,2.632,0,Inf,3.296,0,Inf,195.175223285502,0.144156342100034,0.00268833156985293,0.173719654444767,0.0184300064288806,0,0,NA
"Cldn6",0.0673251007342841,0.955705731472448,5.30945984374879,1.59362243987424,6.03575903588478,10321.3358001411,0.532009042744861,0.999845623042197,4.176,0.0352941176470588,118.32,4.952,0.0705882352941176,70.1533333333333,194.525214480671,1.0648563042448e-07,3.61468828069533e-06,2.13044231512163e-06,6.19517408108061e-05,0,0,NA
"Pantr1",0.110504688200018,0.985235243716385,4.73077254102469,1.59362672018345,55.4801247401514,16131.3795712065,0.921429961109321,0.999901219279259,3.448,0.0117647058823529,293.08,4.208,0.0235294117647059,178.84,190.073410455781,6.43425633584105e-05,8.63790444727286e-07,0.000389209427373914,1.6150263769598e-05,0,0,NA
"Cldn7",0.101651127712432,0.97047056494022,4.37246134277593,1.59362425191885,16.9940129774114,14195.1355087228,0.795358781366902,0.99988774708336,3.288,0.0235294117647059,139.74,3.928,0.0470588235294118,83.47,182.993660284772,0.077484558257934,0.174845099028862,0.104156802712735,0.464997526296586,0,0,NA
"Smagp",0.0687271393487168,0.926176412691302,3.53065040712167,1.59362427089651,11236.2776813645,15838.2594928708,0.999685879838614,0.999899391474207,2.624,0.0588235294117647,44.608,3.288,0.117647058823529,27.948,176.067108717793,2.07944772512292e-13,0,3.2075481160021e-11,0,0,0,NA
"Tspan8",0.127423127561263,1,5.46427500048509,0,2.18139419601828,1,0.285311087879123,1,4.056,0,Inf,4.768,0,Inf,171.599117449673,0.725213653036418,0.999998839558648,0.732335227370655,0.999999984505884,0,0,NA
"Wt1",0.865720633163001,0.0692035664015074,3.33632807306358,7.507805806872,18.1432671543105,4.08188717201339,0.8446745370317,0.352199767452853,0.352,5.92941176470588,0.0593650793650794,0.448,6.98823529411765,0.0641077441077441,162.673273041939,1.06146839012888e-05,9.34913694194961e-06,9.35608566727887e-05,0.000140693109589827,0,0,NA
