"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Cited1",0.0167454281202556,0.263298436468987,19.3235817763818,5.0902572683628,2.90200330832619,2.34553471269234,0.130570389812724,0.315438452106821,16.8446601941748,3.046875,5.52850385860095,19,3.75,5.06666666666667,104.685840231884,0.0113222171179238,1.11022302462516e-16,0.0268080882727615,4.07451850037432e-14,0,0,NA
"Fam213a",0.0133236411975823,0.400672987892689,6.08102141889263,2.78958278690053,5.68019277762623,15213.3926458312,0.482959725306889,0.999816669993499,5.00970873786408,1.25,4.00776699029126,6,1.671875,3.58878504672897,83.4995615957617,4.70166581223452e-08,3.7184275658575e-09,1.56864668462734e-06,1.04974070513054e-07,0,0,NA
"Mfap4",0.0451935599695572,0.428398955757072,4.73841775854623,2.32351744665402,22.0417768261135,17441.6169891016,0.823062609064816,0.99986680088448,3.57281553398058,0.890625,4.01158235394311,4.52427184466019,1.328125,3.4065105653912,72.4572650604824,2.82744441826299e-06,2.72170119330895e-07,4.32363375626049e-05,3.8417859151707e-06,1.22124532708767e-15,7.71827046719409e-13,NA
"Six2",0.0679846005851014,0.438720054214824,6.78142123203849,3.0900367219468,6.13181048222619,6.22618488405371,0.47484708846761,0.668316528671181,5.40776699029126,1.34375,4.02438473696094,6.32038834951456,1.734375,3.64418787719759,66.9066260417731,1.57199379846595e-07,2.65794496523419e-07,3.60576077523128e-06,3.8417859151707e-06,1.96509475358653e-14,9.31454913200014e-12,NA
"Vcan",0.015362925365236,0.32910148899224,8.87419670764206,4.77438101781511,6.14729631378003,3.8233891261445,0.409233376803051,0.444695434063288,7.57281553398058,2.640625,2.86781179985063,8.7378640776699,3.203125,2.72791854132134,64.9038680243787,1.33013263309278e-05,9.73332525688875e-13,0.000139473907527158,8.93032592319543e-11,5.26245713672324e-14,1.95763405486105e-11,NA
"Il33",0.17979852374407,0.789950035351747,4.33234803618268,2.23161190650859,2.65086026809772,11162.4511340108,0.379604925500054,0.999800118645796,2.77669902912621,0.359375,7.72646686365555,3.55339805825243,0.46875,7.58058252427185,64.57264466044,0.00296676053709788,0.00671028418594632,0.0103695344487135,0.0439763267186125,6.19504447740837e-14,1.95763405486105e-11,NA
"Robo2",0.0514877135217842,0.368770808036334,7.05243429464721,3.44070746458585,7.34376996668843,2.69593664343753,0.510118489108399,0.439317743701759,5.66019417475728,1.71875,3.29320388349515,6.68932038834951,2.171875,3.0799748550674,62.9205334344553,0.000528476215218898,5.83437374190865e-07,0.00283210033621656,7.93042653066842e-06,1.39666056497845e-13,3.78295490171305e-11,NA
"Tgfbi",0.0112376273361727,0.260110940219868,8.26766675567848,4.22360617407034,4.76613443092645,10.6096893150101,0.365674937241232,0.715261778666813,7.01941747572816,2.359375,2.97511734070597,8.1747572815534,3.125,2.61592233009709,61.3346321559359,5.86402150393184e-06,7.48167050534931e-09,7.68605675693923e-05,1.96126648247371e-07,3.04867242562068e-13,7.22535364872101e-11,NA
"Spock2",0.0794356935083665,0.386065932461296,6.82358512412353,3.30858004265443,6.94401417897919,9.57111628429348,0.504373640320449,0.74311661093034,5.28155339805825,1.5625,3.38019417475728,6.28155339805825,2.03125,3.0924570575056,57.7044463363002,0.000547899520085493,1.22620767872839e-07,0.00283210033621656,2.14294389568246e-06,1.81765713591631e-12,3.82919769966369e-10,NA
"Rspo1",0.126206239871094,0.530913742996922,4.72218238073408,2.69806454782614,46.8480504457673,15989.9056335535,0.90843201354896,0.999831292977757,3.28155339805825,0.953125,3.4429412700939,4.12621359223301,1.265625,3.26021814694954,53.5433624251166,0.000237522657334455,6.43366787599353e-05,0.00158492391348627,0.000590289027622407,1.40408795701319e-11,2.62198418532478e-09,NA
"Peg3",0.137075671251754,0.345623191509592,7.56065349556449,3.05634294675221,5.0254755151902,4.9374651833661,0.39928682686281,0.617661207649354,5.57281553398058,1.609375,3.46272033179376,6.52427184466019,2,3.2621359223301,53.3450278033254,0.00505901040252299,3.14972270487601e-09,0.0150947708758206,9.63290193907914e-08,1.54769530524845e-11,2.62198418532478e-09,NA
"Crym",0.0687101831486775,0.402593659068627,5.85887521765108,2.72009160075177,3.63864135045079,5.36843809219046,0.383115030582989,0.663710006142992,4.5631067961165,1.1875,3.84261624936127,5.45631067961165,1.625,3.35772964899179,53.202972561891,0.0100227768711209,8.13542174749049e-06,0.0246869739040359,8.78146994508532e-05,1.65948366159796e-11,2.62198418532478e-09,NA
"Wt1",0.0113609899836481,0.115730504976201,7.8857058712404,3.95806917431646,5.2343850499341,4.02775782366846,0.398959510370948,0.504363270664991,6.67961165048544,2.765625,2.41522681147496,7.79611650485437,3.5,2.22746185852982,46.9184132701724,6.24734509699909e-05,1.1861165383209e-09,0.000509505700133037,4.83671966181968e-08,3.61730201348109e-10,5.27569585966166e-08,NA
"Hist3h2ba",0.0600695810405442,0.26224594158754,5.51579787889778,3.09215514349825,17.0820127646093,141.775883935921,0.755914501368626,0.978655366890118,4.28155339805825,1.71875,2.49108561341571,5.18446601941748,2.28125,2.27264263864876,45.7467962296569,2.32527210930478e-06,2.58238129657862e-07,3.71032549615154e-05,3.8417859151707e-06,6.4199245919383e-10,8.69441216165358e-08,NA
"Tril",0.0334257484200494,0.205312242897365,8.69852198581233,4.73849597959422,5.41004848107242,1.84687514598858,0.383458302438985,0.280451186541918,7.21359223300971,3.125,2.30834951456311,8.40776699029126,3.765625,2.23276799742175,45.2361612962276,0.00358729693582538,3.7950502943529e-06,0.0119685270495265,4.49284986460488e-05,8.24282531119991e-10,1.04189311933567e-07,NA
"Osr1",0.228529075953444,0.691634957314046,3.13359262237909,1.97614817505867,13559.7253467319,12768.7010348362,0.99976895781071,0.999845258936019,1.77669902912621,0.375,4.7378640776699,2.41747572815534,0.609375,3.96713965646004,42.5966939384397,8.14564183737598e-06,2.38725433976406e-07,9.34947538371244e-05,3.8417859151707e-06,2.99731228725619e-09,3.55181506039859e-07,NA
"Spint2",0.562354382261876,0.346136116961357,2.68426606886939,6.09358509686012,11234.7776695369,1.83826368998164,0.999761132354953,0.231757278710502,0.893203883495146,3.765625,0.237199371550578,1.1747572815534,3.984375,0.294841043213402,41.8362310554156,0.00385834581208344,2.08320842798315e-08,0.012756873090402,4.49727937099892e-07,4.34636393542576e-09,4.84747413033367e-07,NA
"Ube2c",0.48413258151588,1.09900504543531e-07,2.9735946424112,5.68750000867815,8.59013113539614,0.440687203680063,0.742851508281353,0.0719115112526858,1.16504854368932,5.453125,0.213647870475979,1.53398058252427,5.6875,0.269710871652619,41.0417649832389,0.000190509220370894,4.43229231095188e-08,0.00131918648822864,8.56132251641758e-07,6.40717623401343e-09,6.74889229982748e-07,NA
"Hmcn1",0.17389775771634,0.592584634084262,3.85480913163232,2.53120074552102,47.7902559591374,16905.6452168994,0.925359584214731,0.999850297235905,2.44660194174757,0.765625,3.19556171983356,3.18446601941748,1.03125,3.0879670491321,40.7332091404298,3.91671151878104e-06,0.0124057224144253,5.74973250957056e-05,0.0673558847683978,7.44911776706658e-09,7.43343541387276e-07,NA
"Cdh11",0.102938391652019,0.301731788181687,4.7295731478573,2.5509538904174,17.6956236025872,55.7678543842812,0.789095578491923,0.956258470193669,3.41747572815534,1.265625,2.70022773582644,4.24271844660194,1.78125,2.38187702265372,40.2475281586227,2.18317330880069e-08,1.75766593846216e-06,8.90249560366504e-07,2.22435654970901e-05,9.4424443819463e-09,8.95143727408509e-07,NA
"Traf1",0.140833724460001,0.533139559882324,3.2318529220582,2.04156302263504,16832.0272392436,14992.62462877,0.999808030698882,0.999863847384362,2.04854368932039,0.65625,3.12159038372631,2.77669902912621,0.953125,2.91325799777176,39.8949158751316,5.17120667398174e-08,6.1422422703572e-11,1.58152737445942e-06,2.81775364152637e-09,1.12158269338636e-08,1.01262894602883e-06,NA
"Eya1",0.0834947338983672,0.390524662196149,4.39618507416173,2.89695935651466,49.2858108424748,10.6710955893234,0.91810689973248,0.786486761140123,3.22330097087379,1.3125,2.45584835876098,4.02912621359223,1.765625,2.28198298822923,37.5917689503441,6.07954575571057e-10,2.5082402821397e-09,4.46238658469156e-08,8.36840166859335e-08,3.44874591107214e-08,2.97219193063308e-06,NA
"Tubb4b",0.324201300368801,0.189152182923338,2.71523391531719,4.77894845138702,12195.9984985481,1.5416829727214,0.999777416375622,0.243912810172896,1.30097087378641,3.5,0.371705963938974,1.83495145631068,3.875,0.473535859693079,37.3488609723017,2.22401177603082e-05,1.54605516167194e-08,0.000220597924811706,3.54626402708502e-07,3.88212950674927e-08,3.20022501947679e-06,NA
"Capn6",0.0362158823926988,0.319441543353817,5.08714653004282,3.32906754132518,6.65024248674398,9.06938041319894,0.566586186862582,0.731493203541624,4.04854368932039,1.78125,2.27286663260092,4.90291262135922,2.265625,2.16404419149648,36.959576888192,9.81188196247373e-08,0.00232817268396279,2.40064045348524e-06,0.0164315264425836,4.69289007654083e-08,3.70738316046726e-06,NA
"Epcam",0.767390376984341,0.403773670210772,2.71299170505083,8.67434815698445,0.877439670929207,1.16974353999703,0.244382799459495,0.118826965047036,0.592233009708738,5.125,0.115557660430973,0.631067961165049,5.171875,0.122019182823454,36.2879214253418,0.250791666375522,0.00831893671416206,0.284955237027296,0.0526387892085772,6.50889936393284e-08,4.93634927760667e-06,NA
"Cldn6",0.938725503300079,0.635291240127406,1.58446812574267,4.58413711861563,94.5593656657172,26.2447768283196,0.983519815434243,0.851303969821767,0.087378640776699,1.546875,0.0564872021182701,0.0970873786407767,1.671875,0.0580709554486889,35.325917895385,0.0353881982034877,0.0192474755795689,0.0624397535609615,0.0905618402269458,1.03961155906163e-07,7.58116736915709e-06,NA
"Slc1a3",0.20531581956682,0.488353628452864,3.79951812263108,2.16824817079339,646.666135567551,15856.9823675014,0.994158772102607,0.999863280939608,2.29126213592233,0.75,3.05501618122977,3.01941747572816,1.109375,2.72172842882538,34.0369555242389,0.000911228579035694,0.0003168274759624,0.00398120105364405,0.00252773225387393,1.94591533886346e-07,1.36646499351301e-05,NA
"Ramp2",0.0237333672732821,0.10605082717793,6.16575128741092,3.44328863187873,5.65223380493999,8.28759235830145,0.478273898703625,0.706476552378199,5.04854368932039,2.390625,2.11180912494448,6.01941747572816,3.078125,1.95554679414519,33.7252803769501,9.99158080938756e-07,7.97362176285787e-13,1.83345507852262e-05,8.93032592319543e-11,2.264197923596e-07,1.53318545112072e-05,NA
