"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Cenpa",0.854467986194975,0.025127505264902,1.68871971430484,13.7559076690714,10141.9817307197,6.86076722093263,0.999833519856293,0.332777582104622,0.127118644067797,12.1923076923077,0.0104261348446773,0.245762711864407,13.4102564102564,0.0183264737336747,335.641508316936,1.16462395283179e-13,0,1.41695914261201e-12,0,0,0,NA
"Cenpf",0.968093195545944,0.0614426162067554,1.59362426104963,10.668309214499,15923.2384822271,2.44290477389794,0.999899928347728,0.186321783479382,0.0254237288135593,9.16666666666667,0.00277349768875193,0.0508474576271186,10.0128205128205,0.00507823520475705,275.16205427938,0.0154158211552632,1.46670253747816e-05,0.0174925639015681,8.23609886430043e-05,0,0,NA
"Ube2c",0.777818386492294,1.4788335304028e-09,2.09784136002855,16.6923076976556,16286.7404588386,1.07424299722311,0.999871209884869,0.0604643532485329,0.271186440677966,15.8589743589744,0.017099872573065,0.466101694915254,16.6923076923077,0.0279231430133562,268.222401453135,7.04880598334512e-13,0,7.7184425517629e-12,0,0,0,NA
"Lockd",0.962775395493559,0.0797908892855058,1.5936241982702,5.94903980523838,19072.4836502252,8.64463752412507,0.999916450784206,0.592354985588963,0.0296610169491525,4.71794871794872,0.00628684598378777,0.0593220338983051,5.47435897435897,0.0108363434287302,260.343689329615,1.0991207943789e-14,9.88125072048929e-05,1.6047163597932e-13,0.000480887535063812,0,0,NA
"Cdca3",0.874449021362472,0.0581010900734222,1.85622485568087,7.22762529819071,12667.8614667019,7.47140735404293,0.999853491222072,0.508292452354515,0.127118644067797,6.02564102564103,0.0210962856112514,0.233050847457627,6.80769230769231,0.0342334578186345,255.123298802078,6.78275213772395e-11,3.574918139293e-14,4.95140906053848e-10,4.12056353950088e-13,0,0,NA
"Birc5",0.845366650764734,0.0526451879598606,1.72633622612999,7.72731882188115,16695.4521568815,4.27986804181797,0.999896609105135,0.356442195028807,0.139830508474576,6.58974358974359,0.0212194156829124,0.266949152542373,7.32051282051282,0.0364659087535991,252.6198900616,2.70199107532676e-09,2.22044604925031e-16,1.64371123749045e-08,2.70154269325455e-15,0,0,NA
"Ccnb2",0.877690582972693,0.0357249739006534,1.59362426159066,5.65058492644717,16414.3789729564,6.8930116091126,0.999902922336636,0.549524340134159,0.0974576271186441,4.61538461538461,0.0211158192090396,0.194915254237288,5.44871794871795,0.0357726819541376,252.373109792023,6.17945168257528e-07,3.65940611146698e-12,2.9419563445304e-06,3.48439103657073e-11,0,0,NA
"Smc4",0.469492588907414,0.0557629819945571,2.10863007184952,7.95649891835884,16206.0607397387,4.90797665317809,0.999869903255344,0.381513931592917,0.652542372881356,6.70512820512821,0.0973198949995139,1.11864406779661,7.51282051282051,0.148898015850061,231.79614158102,2.85327317328665e-14,0,3.90541765593611e-13,0,0,0,NA
"Cenpe",0.898302137255783,0.0509842831873122,1.79161494272796,5.13352145026083,19443.6378742996,5.35384615960108,0.99990786447048,0.510504290377552,0.0974576271186441,4.08974358974359,0.0238297646246214,0.182203389830508,4.87179487179487,0.0373996431757359,231.615408502341,7.56042795035938e-09,5.77443648452913e-11,4.47495600305055e-08,4.86385226966108e-10,0,0,NA
"Knstrn",0.863481163665898,0.0527700683105749,1.64502055900821,4.42586112813257,10689.5659546383,18380.7125811674,0.99984613337415,0.999759269632806,0.114406779661017,3.3974358974359,0.033674448353054,0.224576271186441,4.19230769230769,0.0535686518426372,228.717520980085,2.14350759364379e-12,3.00113933704438e-10,1.95595067919996e-11,2.43425746226933e-09,0,0,NA
