"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Sfrp2",0.568635041723953,0.0129981038405854,1.72633780778889,21.4997944340974,16669.1336969303,2.4032382450245,0.999896445785989,0.100541143765561,0.390070921985816,20.6271186440678,0.0189105870149245,0.74468085106383,21.2203389830508,0.035092787709877,245.646497013445,4.23268531335452e-10,0,9.00540289082669e-09,0,0,0,NA
"Sox11",0.0937489354442474,0.016500733457902,4.27292237524833,21.8348677780451,15676.691004488,4.23149740011883,0.999727508946824,0.162335537432875,2.90070921985816,21.0847457627119,0.137573829559189,3.87234042553191,21.4745762711864,0.180322087692489,243.214969294053,8.44013747780537e-12,0,2.74082359147679e-10,0,0,0,NA
"Kdm2b",0.495493229567229,0,2.05242596533643,13.9152542372881,18725.8308770306,4.24881224992811,0.999890408011833,0.233913053165622,0.595744680851064,13.6101694915254,0.0437720251185713,1.0354609929078,13.9152542372881,0.074411934934909,238.502720658629,1.46973544445927e-11,0,4.53413384615686e-10,0,0,0,NA
"Lhx1os",0.966758787464485,0,1.92020048549361,10.3559322033898,15365.5848844904,7.32152411908091,0.999875048000643,0.414172943523222,0.0354609929078014,9.86440677966102,0.0035948429236431,0.0638297872340425,10.3559322033898,0.00616359647595501,231.804879184647,0.000127376964611736,5.91457982465071e-05,0.000527460316546585,0.00040547730575661,0,0,NA
"Lhx1",0.973297819322403,0.0153232291381993,1.59362296031132,13.6154136283411,10995.1387841202,4.72178467853803,0.99985508213701,0.2574976067509,0.0212765957446809,12.8983050847458,0.00164956524170325,0.0425531914893617,13.4067796610169,0.00317400543346693,224.738287646757,0.0185064274843251,2.05645978024194e-09,0.0305252365438009,2.58946058042709e-08,0,0,NA
"Emid1",0.845775003341862,0.00597814105909508,2.06937226638737,8.76425827614378,16847.3062691124,3.72498000731173,0.999877184038719,0.298255179601002,0.184397163120567,8.27118644067797,0.0222939193117079,0.319148936170213,8.71186440677966,0.0366338273035847,191.406510728419,1.09944527326711e-05,2.62811994389267e-12,6.39960126043213e-05,5.40516668460593e-11,0,0,NA
"Cited1",0.0383839156550509,0.705908173719353,14.3301902262751,1.38317181665893,3.19818699465818,10895.7771157256,0.182457677305047,0.999873070434851,11.5177304964539,0.305084745762712,37.75256107171,13.7801418439716,0.406779661016949,33.8761820330969,182.41217010047,0.0010073516621929,7.54951656745106e-15,0.00286601869570859,2.74003042477489e-13,0,0,NA
"Jag1",0.973297819322403,0.0291163726767523,1.59362296031132,4.73096900073245,10995.1387841202,3.05930033188515,0.99985508213701,0.392707902803304,0.0212765957446809,4.22033898305085,0.0050414423652055,0.0425531914893617,4.59322033898305,0.00926434796262856,180.661689561719,0.0902516899380478,0.086399629319882,0.116011026441199,0.255064934403671,0,0,NA
"Pax8",0.668545748167477,0,2.28950222836241,8.28813559322033,11537.5919810931,5.61554897775609,0.999801600888911,0.403889267559939,0.460992907801418,7.96610169491525,0.0578693224686887,0.75886524822695,8.28813559322034,0.0915604287226791,179.909806850026,2.36241359807821e-10,0,5.39855255560834e-09,0,0,0,NA
"Tgfbi",0.0254492934881245,6.31105582261166e-08,5.88741927336217,0.45762712419255,9.46762618197981,0.0435166528557102,0.616580798117146,0.0868346667138592,4.53900709219858,0.389830508474576,11.6435399321616,5.73758865248227,0.457627118644068,12.5376937220909,175.331194409455,8.07121036672243e-12,0.000263660177574288,2.74082359147679e-10,0.00165998295472791,0,0,NA
