"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Krtdap",0.172841912797563,0.996105175914135,5.3010803085405,2.82143965854681,12008.4635472859,11766.8242005925,0.999558749445085,0.999760278283239,3.9747191011236,0.0146520146520147,271.274578651685,4.38483146067416,0.010989010989011,399.019662921348,525.040736906003,0,0,0,0,0,0,NA
"Xist",0.0342794143493389,0.793856157748105,6.06754235115736,5.31297818885013,17788.6003028663,10926.3919982592,0.999659024691895,0.999513984488211,5.30337078651685,1.11355311355311,4.76256652868125,5.85955056179775,1.0952380952381,5.35002442598925,442.09352154275,0,3.33066907387547e-16,0,1.03964456091684e-14,0,0,NA
"Tacstd2",0.204056936422711,0.968841418410956,3.79734699045232,2.82143897515748,11223.9587067598,12091.5346496008,0.999661789321724,0.999766714411706,2.62078651685393,0.0805860805860806,32.5215781409602,3.02247191011236,0.0879120879120879,34.3806179775281,419.221899265042,0,0,0,0,0,0,NA
"Dmkn",0.308839041078064,1,4.38928886674713,0,12262.168676207,1,0.99964217436715,1,2.67696629213483,0,Inf,3.03370786516854,0,Inf,394.235261540758,8.29105970168165e-06,0.311627432485353,1.39891625082428e-05,0.480074693288246,0,0,NA
"Plagl1",0.223365397694234,0.957864046313986,3.92069039903041,3.12959181884646,12003.4821125189,12377.612950545,0.999673477232056,0.999747220991945,2.65730337078652,0.124542124542125,21.3365829477859,3.04494382022472,0.131868131868132,23.0908239700375,383.354074759823,0,2.17958020631848e-07,0,3.75977585589937e-06,0,0,NA
"Sfn",0.0482353415170633,0.724076381863754,4.48309720380463,3.1197251840982,14309.5892282606,12512.6805159586,0.999686804907655,0.999750737058439,3.80898876404494,0.827838827838828,4.60112359550562,4.26685393258427,0.860805860805861,4.95681329189577,368.069125201211,0,0,0,0,0,0,NA
"Notch1",0.173757801139507,0.903163734322651,3.86887672602732,2.91266004787408,10670.9281252248,16007.953723835,0.99963756905866,0.999818082296233,2.78651685393258,0.249084249084249,11.1870456047588,3.19662921348315,0.282051282051282,11.3335035750766,362.953428136556,0,0,0,0,0,0,NA
"Pkp1",0.291459708303035,0.984420701944394,3.42134004623661,2.82143937235842,10935.9093359334,11728.6729268159,0.999687244115058,0.999759498723326,2.09269662921348,0.0402930402930403,51.9369254341164,2.42415730337079,0.043956043956044,55.1495786516854,358.915328567415,0,8.31377254817411e-08,0,1.5137994181467e-06,0,0,NA
"Nebl",0.264134938992695,0.969319644161991,3.4927934786573,3.10420435837514,10534.9847406413,13933.9071653939,0.999668567545231,0.999777269008683,2.22752808988764,0.0989010989010989,22.522784019975,2.57022471910112,0.0952380952380952,26.9873595505618,355.947247674493,0,0.000142884701704094,0,0.00148668130106402,0,0,NA
"Gm16136",0.0892858777882445,0.783463714773931,4.12998537385471,2.9434488829292,17172.1758734963,18269.9695971221,0.999759553340061,0.999838917370453,3.33426966292135,0.644688644688645,5.17190692032686,3.76123595505618,0.637362637362637,5.90124951569159,350.657053087999,0,0,0,0,0,0,NA
"S100a16",0.096545976120193,0.78871263315604,4.24089783353385,3.0685774303684,12901.1603626721,15093.6141008469,0.999671385821492,0.999796738297031,3.40168539325843,0.611721611721612,5.56083899616497,3.8314606741573,0.648351648351648,5.90954103980194,346.121508837286,0,4.25445234597532e-11,0,1.11551740511473e-09,0,0,NA
"S100a14",0.338534247753872,0.992210351143182,3.59263421727902,2.8214393728205,18876.8116886745,15206.9609718935,0.999809716245699,0.999814498373709,2.06179775280899,0.0256410256410256,80.4101123595506,2.37640449438202,0.021978021978022,108.126404494382,339.897979019142,9.14379683081279e-13,0.000347012371899047,3.67715265190048e-12,0.00318135118573182,0,0,NA
"Fgfbp1",0.335848595936551,0.984420701944394,3.60348319967533,2.82143937235842,14304.3378055017,11728.6729268159,0.999748148030037,0.999759498723326,2.04213483146067,0.032967032967033,61.9447565543071,2.39325842696629,0.043956043956044,54.4466292134831,326.523888363313,5.52876572745831e-07,0.105736997184821,1.12201422116066e-06,0.258700209934394,0,0,NA
"Dsp",0.121836752977368,0.80292699282509,4.01757789753363,2.95533919163376,15312.8834207789,19232.0574853303,0.999737702953236,0.999846356266118,3.08426966292135,0.567765567765568,5.43229430953244,3.52808988764045,0.582417582417582,6.05766376934492,324.150381387954,0,7.39033024776958e-08,0,1.36460886687689e-06,0,0,NA
"Pycard",0.294538411273942,0.96131533670079,3.5597062814844,2.9353510854137,14609.0263305907,10956.5022258404,0.99975639450317,0.999732162251501,2.15730337078652,0.102564102564103,21.0337078651685,2.51123595505618,0.113553113553114,22.1150779267851,320.404545908544,3.68594044175552e-14,6.49005365989108e-05,1.70751516577438e-13,0.000733487961044587,0,0,NA
"Cd9",0.218898294162733,0.903409669080433,3.67170818863161,2.95800061854489,11761.8176249034,16565.8225681812,0.999687925586035,0.999821471435012,2.48314606741573,0.263736263736264,9.41526217228464,2.86797752808989,0.285714285714286,10.0379213483146,314.373388482958,0,0.00285052134875885,0,0.0184090319616889,0,0,NA
"Pvrl4",0.368346625645175,0.984420701944394,3.23299916296986,2.82143937235842,18609.0854315485,11728.6729268159,0.999826297880352,0.999759498723326,1.68820224719101,0.043956043956044,38.4066011235955,2.04213483146067,0.043956043956044,46.4585674157303,295.6082388737,0,0.00114171515245076,0,0.0085773382265422,0,0,NA
"Jup",0.112615468166787,0.751550760175412,3.97899529398323,2.87497731148733,10454.3254827825,11160.3311771981,0.999619537248861,0.999742459534323,3.11516853932584,0.673992673992674,4.62196201758671,3.53089887640449,0.714285714285714,4.94325842696629,294.472902211651,0,0,0,0,0,0,NA
"Irx2",0.279191208883891,0.926759408314739,3.65927896830147,3.00079728816712,13715.3321937882,15243.2441335205,0.999733269098128,0.999803177943042,2.23314606741573,0.216117216117216,10.333031803466,2.6376404494382,0.21978021978022,12.0012640449438,289.307632670934,0,1.04072677375999e-06,0,1.58650325627831e-05,0,0,NA
"Trim29",0.254893537591466,0.910950848449085,3.35522518974539,2.92055853992281,18221.9236507024,12658.1734177127,0.999815902669441,0.999769328105028,2.13483146067416,0.245421245421245,8.69864162334395,2.5,0.26007326007326,9.61267605633803,284.468955475895,3.98792110445356e-13,0.00821385603215796,1.68108185464264e-12,0.044132644500652,0,0,NA
"Nrarp",0.196813818885352,0.826511435478026,3.8750163205967,2.99816019616747,18097.3893347869,14884.1692507619,0.999785925654395,0.999798607746296,2.71910112359551,0.483516483516484,5.62359550561798,3.1123595505618,0.52014652014652,5.98362082608008,265.363588473289,0,7.27240490050463e-12,0,1.98627558845033e-10,0,0,NA
"Anxa1",0.416154265492077,0.984659824409848,3.27641572980714,3.10420347329566,14091.2451500635,12592.1440064843,0.999767539769653,0.999753541699095,1.59269662921348,0.0512820512820513,31.0575842696629,1.91292134831461,0.0476190476190476,40.1713483146067,262.879811138878,3.557154570899e-13,3.47320859850342e-08,1.52899332539298e-12,6.8990552615727e-07,0,0,NA
"Krt1",0.352987027442871,0.937953145767341,3.97244696424139,2.8927686201629,14894.1394927641,18210.6158385366,0.999733359033661,0.999841174554417,2.23033707865169,0.194139194139194,11.4883400466398,2.57022471910112,0.179487179487179,14.319823434992,253.526520199774,2.77644573998259e-12,0.00194187303771931,1.06742532701384e-11,0.0137610570402704,0,0,NA
"Rhov",0.488357178970189,1,3.1074170807727,0,11764.0144865496,1,0.999735923779305,1,1.31460674157303,0,Inf,1.58988764044944,0,Inf,248.558784542696,4.63296068176078e-13,0.510155908183968,1.94051484146594e-12,0.647084167805894,0,0,NA
"Grhl3",0.412799455084619,0.972736229324622,3.25769709559447,2.82143940539163,16799.6962643025,14821.8406938601,0.999806123548093,0.999809679345133,1.60674157303371,0.0695970695970696,23.0863394441159,1.91292134831461,0.0769230769230769,24.8679775280899,246.106459148788,0,0.111422006769137,0,0.265912846353766,0,0,NA
"Smagp",0.482430210612921,0.996105175278183,3.23465034412567,2.82143888810266,16485.4049764314,16855.2157477592,0.999803825517608,0.999832635385907,1.40168539325843,0.010989010989011,127.553370786517,1.67415730337079,0.010989010989011,152.348314606742,242.779383927203,7.61035678920052e-12,4.65709693031613e-11,2.82639596335464e-11,1.1971478579695e-09,0,0,NA
"Hbb-bs",0.301581467665807,0.899269982748656,3.4829892127873,2.90916551566887,12857.2306793062,19468.1951200929,0.999729176054878,0.999850590625319,2.01966292134831,0.293040293040293,6.89209971910112,2.43258426966292,0.293040293040293,8.30119382022472,240.021640408049,0,0.00856389423713599,0,0.0454545155663372,0,0,NA
"Ahnak",0.122699776941505,0.692786953782509,4.07276055555663,3.07622007942303,12765.5428171496,11538.2295071829,0.99968105848365,0.999733459960933,3.14887640449438,0.926739926739927,3.39779944042279,3.57303370786517,0.945054945054945,3.78076822576431,238.479731306167,0,0,0,0,0,0,NA
"Zfp750",0.479541973193504,0.992210351143182,3.38400978398635,2.8214393728205,12589.9572496304,15206.9609718935,0.999731285787125,0.999814498373709,1.46629213483146,0.0183150183150183,80.0595505617977,1.76123595505618,0.021978021978022,80.1362359550562,237.976523847291,6.21724893790088e-15,0.000188256619677252,3.0300421403673e-14,0.00188400327020517,0,0,NA
"Fabp5",0.0209451625098055,0.37831726882205,5.41969618665284,3.58236872734777,13951.4489158014,14365.8308673311,0.999611682510073,0.999750694849644,4.77808988764045,2.14285714285714,2.22977528089888,5.3061797752809,2.22710622710623,2.38254453725606,232.328174267106,0,0,0,0,0,0,NA
"Perp",0.00811876606526593,0.348355172235957,5.12022063571736,3.40642644931007,10601.5708730017,10819.5199962675,0.99951726503671,0.999685258282625,4.60112359550562,2.17216117216117,2.11822384750933,5.07865168539326,2.21978021978022,2.28790744242964,232.031440762347,0,0,0,0,0,0,NA
"Gata3",0.31311067294993,0.89196972792225,3.48010868318198,2.98383327754705,14377.6126323747,13422.4096839466,0.999758008049469,0.999777747052724,2.03932584269663,0.293040293040293,6.95919943820225,2.39044943820225,0.322344322344322,7.41582609805924,223.791556013161,0,2.60428288267889e-07,0,4.31907680696481e-06,0,0,NA
"Cdh1",0.196914624035598,0.786858724552975,3.46976415814158,2.90440325012776,13810.2358734825,11461.0227960713,0.999748817279797,0.999746648491426,2.39325842696629,0.593406593406593,4.0330836454432,2.78651685393258,0.619047619047619,4.50129645635264,222.869381080572,0,4.90005195086241e-07,0,7.73972061154291e-06,0,0,NA
"Iqgap1",0.18197267105339,0.763234140407383,3.5677772886135,2.87760492971405,15755.0138324825,17915.3352884728,0.999773597816291,0.999839403351951,2.50280898876404,0.648351648351648,3.86026471148353,2.9185393258427,0.681318681318681,4.28366255889815,221.671181368285,0,0,0,0,0,0,NA
