"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Nebl",0.969319644161991,0.128103522674634,3.10420435837514,4.33431017611816,13933.9071653939,11075.1997035678,0.999777269008683,0.999608800318611,0.0989010989010989,3.27325581395349,0.0302149005523783,0.0952380952380952,3.77906976744186,0.0252014652014652,367.984810831858,0,0,0,0,0,0,NA
"Tacstd2",0.968841418410956,0.207518504897601,2.82143897515748,4.07903272977358,12091.5346496008,15290.5990228757,0.999766714411706,0.999733303786131,0.0805860805860806,2.73837209302326,0.0294284625494817,0.0879120879120879,3.23255813953488,0.0271958257569768,306.382605589093,1.69834207197628e-06,0.0187619560386311,3.22921172724693e-06,0.116123382230869,0,0,NA
"Gm16136",0.783463714773931,0.0362517010177678,2.9434488829292,4.54258295025639,18269.9695971221,12797.3189410617,0.999838917370453,0.999645162311611,0.644688644688645,3.84302325581395,0.167755592869057,0.637362637362637,4.37790697674419,0.145586153554281,300.607595063501,0,0,0,0,0,0,NA
"Nrarp",0.826511435478026,0.0578354899023201,2.99816019616747,4.36896000548168,14884.1692507619,17002.3052821154,0.999798607746296,0.999743103210935,0.483516483516484,3.61046511627907,0.133920829573003,0.52014652014652,4.11627906976744,0.126363278905652,298.71178628908,0,0,0,0,0,0,NA
"Rhov",1,0.305251782593316,0,3.53147952000315,1,12855.3402693226,1,0.999725366300483,0,2.0406976744186,0,0,2.45348837209302,0,293.585193041739,3.60222962569878e-12,0.715716834582671,1.45248079277506e-11,0.794390659357544,0,0,NA
"Sfn",0.724076381863754,0.0212964456165215,3.1197251840982,4.83553926951898,12512.6805159586,10712.7562612608,0.999750737058439,0.999548822220559,0.827838827838828,4.15697674418605,0.199144445298291,0.860805860805861,4.73255813953488,0.181890181890182,288.141558933119,0,7.61741780763714e-11,0,2.86414909567156e-09,0,0,NA
"Pvrl4",0.984420701944394,0.263432063908623,2.82143937235842,3.53619949392916,11728.6729268159,11392.4309759129,0.999759498723326,0.999689697290322,0.043956043956044,2.19767441860465,0.0200011628583057,0.043956043956044,2.6046511627907,0.0168759811616954,285.463303124394,0,0.0248431751473704,0,0.141998953322321,0,0,NA
"Grhl3",0.972736229324622,0.243218184126761,2.82143940539163,3.44174673452438,14821.8406938601,11305.1844145066,0.999809679345133,0.999695652974512,0.0695970695970696,2.15116279069767,0.0323532323532324,0.0769230769230769,2.6046511627907,0.029532967032967,278.649791643453,1.49768752955026e-10,0.0848868707969599,5.16633496432017e-10,0.326178924968143,0,0,NA
"Gabrp",1,0.39995010726278,0,4.44730460507106,1,14802.8682079667,1,0.999699654903598,0,2.36627906976744,0,0,2.66860465116279,0,246.653185010164,5.55111512312578e-16,0.620581803304938,3.23599889348108e-15,0.705771554847515,0,0,NA
"Notch1",0.903163734322651,0.201149928537561,2.91266004787408,4.04651455825635,16007.953723835,12530.5067802068,0.999818082296233,0.999677171219181,0.249084249084249,2.68604651162791,0.0927326641612356,0.282051282051282,3.23255813953488,0.087253274303634,241.881380070212,0,0.00137120589072326,0,0.0157426996919678,0,0,NA
"Ppl",0.984420701944394,0.347255954049707,2.82143937235842,3.26884778286611,11728.6729268159,17986.620652518,0.999759498723326,0.999818295282869,0.0512820512820513,1.7093023255814,0.0300017442874586,0.043956043956044,2.13372093023256,0.0206006527532413,233.553668209152,1.37489797324974e-09,0.00182610634858293,4.16904546727342e-09,0.019901912668614,0,0,NA
"Cldn4",0.925998567813543,0.276227013243764,2.82144557250892,3.57461581622774,18395.7003929397,17727.9633231446,0.999846648247219,0.999798403509694,0.197802197802198,2.16860465116279,0.0912117373243379,0.208791208791209,2.58720930232558,0.0807013211507594,209.742677845542,1.04694031222152e-13,0.0193753822973621,5.01464404325213e-13,0.117502318448519,0,0,NA
"Cd9",0.903409669080433,0.251699742200865,2.95800061854489,3.86146450318062,16565.8225681812,15126.3207264706,0.999821471435012,0.999744784004948,0.263736263736264,2.47093023255814,0.106735617323853,0.285714285714286,2.88953488372093,0.0988789882150043,207.599615023777,0,0.00468793242401533,0,0.0407552044261217,0,0,NA
"Rab25",0.918208687072629,0.264772154243122,2.8214393740875,3.34495265665777,10063.8717984232,12168.3697680588,0.999719725305278,0.999725186406894,0.21978021978022,1.99418604651163,0.110210489219236,0.230769230769231,2.4593023255814,0.093835242771413,204.773771007433,0,0.0458599027704184,0,0.217581368349241,0,0,NA
"Anxa1",0.984659824409848,0.428387445424854,3.10420347329566,4.31256450334636,12592.1440064843,14136.0281599388,0.999753541699095,0.99969501693153,0.0512820512820513,2.18023255813953,0.0235213675213675,0.0476190476190476,2.46511627906977,0.0193171608265948,200.65877886136,3.33066907387547e-16,0.00621773010898119,2.00373051484348e-15,0.051767926594911,0,0,NA
"Smagp",0.996105175278183,0.45831877028544,2.82143888810266,3.38094666845712,16855.2157477592,11304.7651608226,0.999832635385907,0.999701016715179,0.010989010989011,1.48255813953488,0.00741219564748977,0.010989010989011,1.83139534883721,0.00600034885749172,199.641896317171,6.20884454960446e-09,0.00143172545146042,1.73570672910876e-08,0.0163129930227005,0,0,NA
"Jup",0.751550760175412,0.125648975326353,2.87497731148733,4.14260739940151,11160.3311771981,10368.0519309762,0.999742459534323,0.999600604540912,0.673992673992674,2.98837209302326,0.225538404526731,0.714285714285714,3.62209302325581,0.197202476496216,197.816213924362,0,0,0,0,0,0,NA
