"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Lmo1",0.940326146916111,0.0398136253846514,3.21128344236437,4.60484767244371,10175.5777956259,11019.8513156744,0.999684512232504,0.999582306137898,0.147577092511013,3.80523255813953,0.0387826736621761,0.191629955947137,4.42151162790698,0.0433403713647699,771.617000310546,0,0,0,0,0,0,NA
"Krt15",0.933829471129703,0.0968867802168822,3.36203698746241,4.19736670032152,13852.0542274659,15165.3638577324,0.999757348539857,0.999723303354776,0.180616740088106,3.24709302325581,0.0556241348167488,0.222466960352423,3.7906976744186,0.0586876030377557,635.313795130048,0,0,0,0,0,0,NA
"Irx2",0.915686487927902,0.0882377841442127,2.8214393721113,4.01726344877804,18029.4849923423,17893.0219303212,0.999843534193322,0.999775534745983,0.191629955947137,3.05232558139535,0.0627816236626809,0.237885462555066,3.66279069767442,0.0649465072372561,620.607556013434,0,0,0,0,0,0,NA
"Xist",0.752537082170171,7.18889561597255e-06,5.77668515638392,5.84306118518056,12789.5853575882,500880.990846857,0.999548532887379,0.99998833456823,1.34361233480176,5.33720930232558,0.251744359026038,1.4295154185022,5.84302325581395,0.244653385057093,569.765632221488,0,0,0,0,0,0,NA
"Sp8",0.254152653868244,0.994068439947056,3.56157017320717,3.92069031984622,18263.023517947,18480.9987719121,0.999805022659899,0.999787897895479,2.31497797356828,0.0203488372093023,113.764631843927,2.65638766519824,0.0232558139534884,114.224669603524,524.122839476357,2.68285504922972e-10,9.1926466438963e-14,6.59335582411142e-10,1.80733999195175e-12,0,0,NA
"Bhlha9",0.311879431584635,1,3.74191684562414,0,19098.1135697144,1,0.999804107153451,1,2.21145374449339,0,Inf,2.57488986784141,0,Inf,486.894469390666,2.42472708578134e-13,0.358745844347871,7.39508177685667e-13,0.462727809636404,0,0,NA
"Serpinb10",0.988289791056056,0.307202103489922,2.82143953632386,3.48267613185425,16192.9767585946,17715.2824668994,0.999825791881215,0.999803447017682,0.0242290748898678,1.97383720930233,0.0122751130517151,0.0330396475770925,2.41279069767442,0.013693540682554,479.1027602705,0,1.35425004543777e-12,0,2.40488596778545e-11,0,0,NA
"Dcn",0.93309279190876,0.213146072923263,3.09456154571588,3.86437376115454,18334.8334355176,10847.6142212355,0.999831248026156,0.999643885049643,0.16079295154185,2.51162790697674,0.0640194158916626,0.20704845814978,3.0406976744186,0.0680924183590098,467.889359040279,0,0.00028099563874262,0,0.00165441817248997,0,0,NA
"Gjb6",0.801367036764642,0.0787543787833217,3.07165936485088,3.98222208015111,16697.0425700014,14361.989392118,0.999816069559605,0.999722801757716,0.488986784140969,3.0843023255814,0.158540484207817,0.610132158590308,3.66860465116279,0.166311776984997,462.242067196145,0,0,0,0,0,0,NA
"Fgfbp1",0.957843244953888,0.268775915554761,2.8214394459402,3.64950323007009,13202.5646973987,17581.0208635093,0.999786341768677,0.99979246109515,0.0837004405286344,2.17151162790698,0.0385447811805224,0.118942731277533,2.66860465116279,0.0445711324177248,450.351883143981,1.11022302462516e-15,2.10637213471365e-06,4.28896684249929e-15,2.08929344172949e-05,0,0,NA
"Dlx2",0.359394051550896,0.996909058927664,3.38679892785351,2.82144342346654,14658.5811303441,18911.2745963447,0.999769007888696,0.999850828534574,1.87885462555066,0.00872093023255814,215.441997063142,2.16960352422907,0.00872093023255814,248.781204111601,419.602486381855,0,1.76758223058293e-07,0,2.0485347746019e-06,0,0,NA
"Hbb-bs",0.890550165915519,0.193489073190202,3.38094666473727,3.49265009306218,14676.3986874316,18369.3080817883,0.999769686824393,0.999809901051885,0.31057268722467,2.25872093023256,0.137499362168966,0.370044052863436,2.81686046511628,0.131367548178557,405.264842593147,0,0.000821813482778988,0,0.00405747374233034,0,0,NA
"Mt1",0.534863688512965,0.0170370665447243,3.5326670479878,5.06300291010218,19827.6701503627,14418.2851095127,0.999821863198087,0.999648971731762,1.37224669603524,4.35174418604651,0.315332574105627,1.6431718061674,4.97674418604651,0.330170035818683,366.960913926834,0,0,0,0,0,0,NA
"Irx4",0.934066134591192,0.30088322388957,2.73934970862287,3.34308856534124,16610.817651655,15946.5066955551,0.999835113593772,0.999790399996828,0.134361233480176,1.88081395348837,0.0714378119276362,0.180616740088106,2.33720930232558,0.0772788042168014,365.580947831138,0,0.00631380789786484,0,0.0230182201839377,0,0,NA
"Adamtsl1",0.979078952817674,0.393861897061402,2.94794082213982,3.32355750062135,14130.5034830551,16615.3278579648,0.999791421024226,0.999800010396901,0.0506607929515418,1.62209302325581,0.0312317433249649,0.0616740088105727,2.01453488372093,0.030614515196013,364.727882019857,1.0991207943789e-14,0.000153945924583843,3.90365159551992e-14,0.000985432924225644,0,0,NA
"Mt2",0.643370020992713,0.0704225750148354,3.49576999103889,4.74709091451822,18358.6533968828,16141.2899759693,0.99980962086958,0.999705990337143,1.02863436123348,3.81104651162791,0.269908634831668,1.24669603524229,4.41279069767442,0.282518732624076,340.272801512225,0,0,0,0,0,0,NA
"Fst",0.992973860829977,0.48841217136334,2.82143593353354,3.38094667530449,12530.4657224787,15641.9896327122,0.999774884601472,0.99978390114455,0.0154185022026432,1.39244186046512,0.0110729953188085,0.0198237885462555,1.7296511627907,0.0114611483359864,321.73527720472,0,0.00894772321398063,0,0.030208540952816,0,0,NA
