"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Hoxc13",0.961377339904951,0.100113394810056,2.90916364169873,3.18095622188005,10843.2159319654,11776.1719507555,0.999731778527718,0.999729954926472,0.0786516853932584,2.075,0.0379044266955462,0.112359550561798,2.8625,0.0392522447377459,246.13081566983,1.19793064357054e-13,2.22044604925031e-16,4.86258607714128e-13,3.29862139893784e-15,0,0,NA
"Sp8",0.970801370128974,0.207740924669882,3.27089342259021,3.28175477969885,18915.0504574653,13070.9173444015,0.999827104458058,0.999748989995119,0.0758426966292135,1.8875,0.0401815611280601,0.0955056179775281,2.6,0.036732929991357,208.607519557111,1.2134737659153e-13,1.45555015629295e-06,4.91184184461781e-13,1.31090485951134e-05,0,0,NA
"Krtdap",0.170803079297795,0.973417814982372,4.90185942019194,2.82143579182271,15890.4350961463,10587.7770166652,0.999691616514082,0.999733590523285,3.9747191011236,0.05,79.4943820224719,4.06460674157303,0.075,54.1947565543071,199.700515513237,0,3.18235771159525e-05,0,0.000230441078513003,0,0,NA
"Dlx2",0.979289147973981,0.268466045827497,2.98383248737866,3.14407809401659,13419.7293609626,16338.7422919473,0.999777702730858,0.999807606170865,0.050561797752809,1.675,0.0301861479121248,0.0617977528089888,2.3,0.0268685881778212,193.612498019807,0.000189061892475473,0.589961776876828,0.000248288723642183,0.703851218225943,0,0,NA
"Dlx1",0.997134189533748,0.354053561607134,3.92069083483169,2.96077193148328,15068.9117027882,12678.4400409007,0.999739883604326,0.999766526429124,0.0112359550561798,1.35,0.00832292967124428,0.0112359550561798,1.9125,0.00587500917970184,190.284644299623,9.8247874469326e-07,2.19020779290702e-09,1.71500821303819e-06,2.39097684059016e-08,0,0,NA
"Col17a1",0.882804683224977,0.0838687404193593,3.18780234643985,3.46566060462992,16184.1747923445,19000.6552174901,0.999803068453691,0.999817636362826,0.308988764044944,2.2875,0.135077055320194,0.373595505617978,3.175,0.11766787578519,188.757630451337,0,0,0,0,0,0,NA
"Otx1",0.97311911838889,0.269941155532841,2.82143869808229,2.84223719825034,17684.428512697,15175.0905491571,0.999840481776091,0.999812738846702,0.0589887640449438,1.45,0.0406819062378923,0.0758426966292135,2.075,0.0365506971707053,180.370107573145,1.16379073045181e-09,0.248189487004374,3.00829453999781e-09,0.46171468628144,0,0,NA
"Bhlha9",1,0.414132416744286,0,3.22171705564709,1,12844.1416347728,1,0.999749231265014,0,1.3125,0,0,1.8875,0,179.923225767794,2.21873105110681e-07,0.788314623656031,4.23469065515883e-07,0.856037206245924,0,0,NA
"Hoxc10",0.967348993448571,0.26022895768142,2.92504368656143,2.92320179580873,13600.6148441052,16692.5949518153,0.99978497922521,0.999824910986954,0.0730337078651685,1.5375,0.0475015986114917,0.0955056179775281,2.1625,0.0441644476196662,178.21896205547,6.30218093711221e-07,0.17028274210251,1.12533367167022e-06,0.380848251616535,0,0,NA
"Syt1",0.994026473577341,0.402849834286424,2.82143794392593,2.84685878260406,18811.2679074254,18122.5142654397,0.999850035901705,0.999842935058613,0.0112359550561798,1.1875,0.00946185688941455,0.0168539325842697,1.7,0.00991407799074686,163.760383632949,5.98049524729305e-05,0.120452535159908,8.27053133526803e-05,0.302063400339154,0,0,NA
