"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Krtdap",0.996105175914135,0,2.82143965854681,6.78787765765131,11766.8242005925,1e+08,0.999760278283239,0.999999932121228,0.0146520146520147,5.96212121212121,0.00245751706996942,0.010989010989011,6.78787878787879,0.00161891679748823,502.046916643508,0,0.0593581001689945,0,0.238342800985318,0,0,NA
"S100a14",0.992210351143182,1.0874587360453e-09,2.8214393728205,4.71969696957698,15206.9609718935,81860356700.7596,0.999814498373709,0.999999999942345,0.0256410256410256,4.04545454545455,0.00633823105733218,0.021978021978022,4.71969696969697,0.00465665955232568,478.954999342153,0,0,0,0,0,0,NA
"Dmkn",1,0.0186071396193916,0,5.47304953493386,1,12437.4100848252,1,0.999560146191535,0,4.63636363636364,0,0,5.37121212121212,0,478.21955218849,0,0.186308482046515,0,0.469278717948121,0,0,NA
"Tacstd2",0.968841418410956,0.028017721991013,2.82143897515748,4.59074302090159,12091.5346496008,18584.5842208841,0.999766714411706,0.999753042131788,0.0805860805860806,3.78030303030303,0.0213173599947147,0.0879120879120879,4.46212121212121,0.0197018601093304,406.267608708345,0,0,0,0,0,0,NA
"Anxa1",0.984659824409848,0.0911388484559375,3.10420347329566,4.10937191341869,12592.1440064843,11245.7764206972,0.999753541699095,0.999634718788335,0.0512820512820513,3.09848484848485,0.0165506864773368,0.0476190476190476,3.73484848484848,0.0127499275572298,365.576531904611,1.33226762955019e-15,1.67015855971897e-05,7.17670093449052e-15,0.000230130268912856,0,0,NA
"Krt1",0.937953145767341,0.0485516100988832,2.8927686201629,5.35865553267323,18210.6158385366,18013.4730824984,0.999841174554417,0.999702608048592,0.194139194139194,4.43181818181818,0.04380576688269,0.179487179487179,5.09848484848485,0.0352040233169505,365.210770701451,0,0,0,0,0,0,NA
"Fam25c",1,0.140325986405469,0,3.82456453648813,1,11661.0163578111,1,0.999672128873257,0,2.70454545454545,0,0,3.28787878787879,0,360.013966218163,0,0.449719341219822,0,0.684514671693893,0,0,NA
"Capns2",1,0.142732668656206,0,3.95902130651406,1,14493.2159975245,1,0.99972691084288,0,2.78787878787879,0,0,3.39393939393939,0,360.009429021263,0,0.491413388325125,0,0.710155641875938,0,0,NA
"Plagl1",0.957864046313986,0.0534344609724906,3.12959181884646,4.16177568054573,12377.612950545,17550.2660275512,0.999747220991945,0.999762921598631,0.124542124542125,3.3030303030303,0.0377054138522028,0.131868131868132,3.93939393939394,0.0334742180896027,358.88630999702,1.19126930542279e-13,1.07074811239727e-08,5.3403134273919e-13,1.84422273569477e-07,0,0,NA
"Smagp",0.996105175278183,0.136660278463397,2.82143888810266,3.65037621251931,16855.2157477592,18527.6360959162,0.999832635385907,0.999803015499328,0.010989010989011,2.54545454545455,0.0043171114599686,0.010989010989011,3.15151515151515,0.00348689771766695,348.91552882066,3.72502029222233e-12,0,1.44689957344778e-11,0,0,0,NA
